,username,tweet
0,acunilicali,İşte #Survivor2023’ün Gönüllüleri.. Tüm yarışmacılarımıza başarılar dilerim. Survivor Türkiye 15 Ocak’ta TV8’de başlıyor..#Survivor  #SurvivorTürkiye #DominicanRepublic #TV8 @survivorturkiye @tv8 https://t.co/0O5RJxVJKI
1,acunilicali,İşte #Survivor2023’ün Influencerları.. Tüm yarışmacılarımıza başarılar dilerim. Survivor Türkiye 15 Ocak’ta TV8’de başlıyor..#Survivor  #SurvivorTürkiye #DominicanRepublic #TV8 @survivorturkiye @tv8 https://t.co/uBhecCq7Wt
2,acunilicali,İşte #Survivor2023’ün Ünlüleri.. Tüm yarışmacılarımıza başarılar dilerim. Survivor Türkiye 15 Ocak’ta TV8’de başlıyor..#Survivor #SurvivorTürkiye #DominicanRepublic #TV8 @survivorturkiye @tv8 https://t.co/HksURL9lzU
3,acunilicali,"#OSesTürkiye Yılbaşı Özel programı bu akşam saat 20.00’de @TV8’de.. 

#OSesYılbaşı #SedaSayan @YildizzTilbee @MuratBoz @EbruGundes https://t.co/kn7HD0VteX"
4,acunilicali,"#SıfırıncıGün ilk bölümüyle birazdan #TV8’de başlıyor.. 

@tv8 @Sifirinciguntv8 @acunmedya https://t.co/5K1NhXRQU6"
5,acunilicali,"Yeni dizimiz #SıfırıncıGün ilk bölümüyle bu akşam 20.00’de #TV8’de..

@acunmedya @Sifirinciguntv8 @tv8 #ACUNMEDYA https://t.co/9A89PEPA5e"
6,acunilicali,"Merry Christmas to my Hull City family.

@hullcity #theTigers #hcafc #HullCity https://t.co/fVv6jnS4q2"
7,acunilicali,"Sevgili Aysu Keskin ve Barış Telli #Survivor2023 kadrosuna dahil oldular, ikisine de başarılar dilerim.. #Survivor #ACUNMEDYA #TV8 https://t.co/I83AKSw1bg"
8,acunilicali,"Sevgili Alper Rende, Elanur, Chaby, Halil İbrahim Göker, Buse Plan ve Kürşat Juan #Survivor2023 kadrosuna dahil oldular, hepsine başarılar dilerim.. #Survivor #ACUNMEDYA #TV8 https://t.co/WRcpnutUy8"
9,acunilicali,"Sevgili Zeynep Alkan, Seçkin Piriler ve Cansu Tuman #Survivor2023 kadrosuna dahil oldular, hepsine başarılar dilerim.. #Survivor #ACUNMEDYA #TV8 https://t.co/Vxfk7xcMy8"
