,username,tweet
0,netflixturkiye,@valenciaessek Mutlu yıllar!
1,netflixturkiye,Yeni sezon şimdi yayında.
2,netflixturkiye,Geceye yeni yıldan bir beklenti bırak.
3,netflixturkiye,"Özür dilerim ben de spoiler verdim, 20 puanla kapatıyorum yılı. https://t.co/jLPSGeaIdI"
4,netflixturkiye,"2022 yılı hatalar testi:

Spoiler verdim (20 puan)
Önerdiği filmi izlemedim (20 puan)
Yeni sezon için onu beklemedim (20 puan)
O mutfağa gittiğinde filmi durdurmadım (20 puan)"
5,netflixturkiye,Yılbaşı partisinde Wednesday dansı edilecek değil mi?
6,netflixturkiye,II. Mehmed. https://t.co/GpDCeu1EWi
7,netflixturkiye,Bu sene kaçta kaç yaptın? https://t.co/OphIPJ6Mmf
8,netflixturkiye,BU SAHNE... https://t.co/ueVNZuBsWd
9,netflixturkiye,@nurbyrkci seneye artık
10,netflixturkiye,@knownothinggsss bunun zorluk derecesi kupa yedilisinden bile fazla
11,netflixturkiye,@blackclaw98_ Wednesday sendromuyla doğdum ben
12,netflixturkiye,@yarunnere ruhumuz öldü diye gözümüz şenlenmesin mi?
13,netflixturkiye,Biz dördümüz siz hepiniz. https://t.co/A7Iyg0TiGx
14,netflixturkiye,Yılbaşı planın ne diye sormayın artık. https://t.co/oDrNH6L4uI
15,netflixturkiye,". 　★ 　° :. ★　 * • ○ ° ★　 
.　 * yeni yıl　.　 °☆  　. 　 
° 　. ● . ★ ° . *　　　°　.　°☆ 
　. * ● ¸ . 　için ★ 　° :●. 　 * 
• ○ ° ★　 .　 * 　.　 　°☆   .
 　 ° 　heyecanım ● . ★ ° . *　　
°☆ 　. * ● ¸ . 　　　★
° :.  * • ○ ° ★ sıfır"
16,netflixturkiye,Fark ettin mi? https://t.co/RrtSgSgPow
17,netflixturkiye,@melodisaral Hellfire Club hayran buluşması ne zaman?
18,netflixturkiye,@Rothilione35 🤟🤟
19,netflixturkiye,2022'de kalbini çalan hangisi oldu? https://t.co/YmtmwScDgv
20,netflixturkiye,https://t.co/CP0mM3QGWw
21,netflixturkiye,"Ben ikna oldum, kamera arkasında da oyun oynuyorlar. https://t.co/il246WmLhE"
22,netflixturkiye,@yigitcelikbag bunu neden yaptın ki şimdi😭
23,netflixturkiye,@Beastbetl yaşımı belli etmemeliyim...
24,netflixturkiye,@meliketekemt Tom ve Jerry izleyeceksek derse ben de gelmek isterim
25,netflixturkiye,Tom mu Jerry mi?
