,username,tweet
0,RasimOzan_K,"Yine trendlerde miyiz Ertemmmm??
YouTube trends https://t.co/QqvBo5tSgB"
1,RasimOzan_K,8 Ocak akşamı Fenerbahçeliler ağlayacak… https://t.co/Mza3eaF7OA
2,RasimOzan_K,"8 Ocak 2023… Galatasaray, Kadıköy’de Fenerbahçe’yi eze eze mağlup edecekkkkkk… Bu 2 kere 2 = 4… Normal bir yenilgi olmayacak Kadıköy’de 8 Ocak’ta yaşanacak olan… Tüm Galatasaraylılar hep birlikte “Fener Ağlamaaaa” şarkısını söyleyeceğiz 8 Ocak akşamı…"
3,RasimOzan_K,Birazdan tüm Fenerbahçeli kardeşlerim için söyleyeceğim… Fenerbahçe-Galatasaray maçının da tam skorunu vereceğimmmm… derinsestürkiye#
4,RasimOzan_K,"Bugün Galatasaray, Okan Buruk’a rağmen kazandı. Bugün Galatasaray, Okan Buruk’a rağmen lider oldu..Galatasaray takım gibi takım değil.. Fenerbahçe Jesus dehasına rağmen kaybediyor, Galatasaray ise Okan Burak’a rağmen kazanıyor ve galiba Okan’a rağmen şampiyon olacak Galatasaray.."
5,RasimOzan_K,Jesus’u kovacak bu Fenerbahçe https://t.co/wTCV0TRcpa
6,RasimOzan_K,"Usta gazeteci Sezgin Gelmez ile yaptığım Beyaz Futbol YouTube yayınlarında Trabzonspor’un bu 24 Aralık Noel Derbisi’nde galip geleceğini ve bu Noel Haftası’nda liderliğin Galatasaray’a devredileceğini, bundan sonra da Galatasaray’ın liderlik koltuğunu bırakmayacağını söylemiştim."
7,RasimOzan_K,24 Aralık 2022 itibariyle Fenerbahçe’nin şampiyonluk ihtimali kalmamıştır… Trezeguet’nin 100.dakika golüyle Fenerbahçe’nin 2023 için şampiyonluk umudu sıfırlanmıştır… Bu bir “turning point”tir… Fenerbahçeli kardeşlerim ve özellikle Ali Koç için üzgünüm..
8,RasimOzan_K,Katar da muhteşem bir organizasyon yaptı… Kusursuza yakındı Katar…
9,RasimOzan_K,Bir daha hayatımızda bunun kadar muhteşem bir dünya kupası final maçı yaşayacağımızı sanmıyorum…
10,RasimOzan_K,"Fransa kazansaydı da ben 10 bin dolar verecektim, anlaşma buydu… https://t.co/RS7XwQXXea"
11,RasimOzan_K,Arjantin şampiyon oldu https://t.co/oM309a5H10
12,RasimOzan_K,Girdim 10 bin dolar kazandım bile… https://t.co/aR5BcxrPDK
13,RasimOzan_K,S…e S…e Arjantin şampiyon kardeşim… https://t.co/4XgbShXEWs
14,RasimOzan_K,Messi https://t.co/TFoG0rRlLo
15,RasimOzan_K,Ne oldu? https://t.co/V3uZtIsMU7
16,RasimOzan_K,Söyledik https://t.co/8L6W0SmB05
17,RasimOzan_K,Demiştimmmmmm https://t.co/jXRPqooj8l
18,RasimOzan_K,Kaleci Martinez şampiyon
19,RasimOzan_K,Tüm dünya kupaları tarihinin en heyecanlı en güçlü finallerinden biri…
20,RasimOzan_K,Mbappe attı
21,RasimOzan_K,Dememiş miydim? https://t.co/AYelDxQa5D
22,RasimOzan_K,Arjantin dünya şampiyonu demiştim…
23,RasimOzan_K,"Messi mi?
Mbappe mi?"
24,RasimOzan_K,Futbol denilen sanat dalı budur… Muhteşem bir final… Türkiye’de oynanan bu sanat dalının imitasyonu…
25,RasimOzan_K,Arjantin Dünya Şampiyonu…
26,RasimOzan_K,1986’dan bugüne Özlem var…
27,RasimOzan_K,Arjantin dünya şampiyonluğuna yürüyorrrrr…:
28,RasimOzan_K,Hem Arap toplumları hem de Afrika toplumları tarihinde ilk kez Dünya Kupası’nda yarı final oynayan ülke Fas… Dünya 4’üncüsü oldular… İslam toplumları tarihinde ise Türkiye’nin Dünya 3’üncülüğünü egale edemedi Fas. Ama bu 4’üncülük bizim 3’üncülük maceramızdan daha görkemli oldu
29,RasimOzan_K,"Tayyip Bey “Siyasi yasak kararını doğru bulmuyorum” derse tüm tablo değişir, normalleşme olur. Aksi halde Devlet, ameliyatı yarım bırakmaz. En ceberut haliyle totaliter bir rejim kurmayı kafayı koyarsa Devlet bunu yapar. Devletin bu gücü fazla fazla var. Bu ihtimalden endişeliyim https://t.co/ZsrTlmyB46"
30,RasimOzan_K,Çocuklarımın isim babası Tayyip Bey’e yalvarıyorum; Türkiye’nin geleceği için iki adım atılması şart.. 1-Siyasi yasak kararı kalkmalı 2-AK Parti bu siyasi yasak rezaletini kınamalı ve demokrasiye sahip çıkmalı. O zaman bu sis adım adım dağılır ve akıl tutulması ortamı sönümlenir
31,RasimOzan_K,"Tüm AK Parti ve özellikle Tayyip Bey, bu siyasi yasak kararını kınar, istinaf mahkemesi de bu saçma kararı bozarsa ülke normalleşir…Yoksa ya normal bir seçimle altılı masa adayı kim olursa kazanır yada bu kaos sürecinin bizi koyu totaliter bir yere sürükleyeceğinden endişeliyim https://t.co/RzHnZ7TP45"
32,RasimOzan_K,"Eğer bu salakça karar, siyasi yasak kararı onanırsa, yani Ekrem İmamoğlu’na siyasi yasak gelirse altılı masanın adayı kim olursa olsun kazanır. Her şartta kazanır. Tayyip Erdoğan bu oyunu bozarsa o zaman kartlar yeniden dağılır… https://t.co/I06C4CQPuj"
33,RasimOzan_K,"Faslı mütefekkir ve filozof Mohammed Abed Al Jabri (Muhammed Abid El Cabiri)’nin felsefe ve İslam düşüncesi alanındaki başarısından sonra Fas tarihindeki en büyük başarı bu… Fas, Dünya’nın en büyük 4 takımından biri oldu… Afrika tarihinde bir ilk… Arap dünyasında bir ilk…"
34,RasimOzan_K,Arap toplumları tarihinde hiçbir Arap ülkesi Dünya kupasında yarı final oynamadı… Fas ilk olmak üzere… İslam toplumları tarihinde ise sadece Türkiye Dünya kupasında yarı final oynamıştı…
35,RasimOzan_K,Arap tarihinde bir ilk yaşanmak üzere…
36,RasimOzan_K,"Ronaldo’yu yedek bırakmanın cezasını Fas, Portekiz’e kesti…"
37,RasimOzan_K,Ronaldo yine yedek… Ben Ronaldo’yu yedek bırakan zihniyetin taaaa ….
38,RasimOzan_K,Aynen öyle… Messi melek yüzlü şeytandır… https://t.co/0Gh6qp0M4K
39,RasimOzan_K,İşte o yüzden Ronaldo diyorum… Messi’ci Ertem Şener bu çirkefliklere ne diyecek? Cüneyt Özdemir kanalında Ertem ile tartıştık… Messi mi Ronaldo mu? https://t.co/oaOFb94tpE
40,RasimOzan_K,Çirkef Messi… Bu yaptığı resmen pislik… https://t.co/Gd08BPO9tq
41,RasimOzan_K,"Messi dün Beşiktaşlı Weghorst’u hedef alan türlü türlü çirkeflikler yaptı… Dünkü maçın gerçek yıldızı Beşiktaşlı Weghorst’tur. Hala bizim Ertem, bu çirkeflikleri yapan Messi’yi savunuyor… Messi militanı Ertemmmm… Seni militan Ertem seniiii… https://t.co/ddWdr0DqUR"
